Time,TI3104_Meas - OP Value,TI3107_Meas - OP Value,TI3105_Meas - OP Value,TC3106_Meas - OP Value,TI3108_Meas - OP Value,TI3101_Meas - OP Value,PI3102_Meas - OP Value,PI3103_Meas - OP Value,FC3101_Meas - OP Value,FI3105_Meas - OP Value,FI3104_Meas - OP Value,FC3103_Meas - OP Value,FC3102_Meas - OP Value,LC3103_Meas - OP Value,LC3101_Meas - OP Value,QI3105 - PV,QI3104 - PV
29220,53.9151,62.5999,69.226,75.0463,97.0668,51.9961,16.9108,17.0303,11.9085,7.17083,4.72271,11.3543,2.03511,-0.002,0.0845,97.2084,96.3493
29160,54.8173,63.298,69.6339,76.6206,98.3183,52.4171,16.9228,17.0775,12.0393,7.32256,4.87322,11.394,2.00033,0.15425,0.25,97.2084,96.3493
29100,54.5834,62.0435,69.2498,75.0278,97.0463,52.0248,16.8948,17.0267,11.9106,7.14264,4.72292,11.2883,2.00648,-0.1925,-0.048,97.2084,96.3493
29040,54.2319,63.9338,68.4604,77.0006,98.6268,51.2188,16.941,17.093,12.1132,7.21519,4.85007,11.4939,2.05372,-0.07875,0.39975,97.2084,96.3493
28980,52.6331,62.6846,69.1716,75.359,97.3119,51.9478,16.9106,17.0386,11.9549,7.09643,4.71774,11.3782,2.0508,-0.33375,0.1065,97.349,96.3478
28920,53.7848,61.0864,68.785,75.7023,97.5897,51.5536,16.8729,17.0497,12.0034,7.13284,4.74748,11.1833,1.97903,-0.13475,-0.27725,97.349,96.3478
28860,54.9469,62.7717,68.2109,74.981,97.0225,50.9654,16.9153,17.0289,11.9122,7.25433,4.76717,11.344,2.00946,-0.03275,0.1275,97.349,96.3478
28800,53.8223,63.3127,68.6702,76.343,98.0949,51.4477,16.9169,17.0633,12.0424,7.28618,4.83656,11.4158,2.0199,0.20925,0.26225,97.349,96.3478
28740,54.3489,62.5913,69.0347,76.8858,98.5339,51.8081,16.9004,17.0802,12.0918,7.20062,4.8287,11.3421,1.99501,0.20425,0.08175,97.349,96.3478
28680,53.3237,63.2996,69.4847,74.5813,96.7072,52.2451,16.924,17.0086,11.8429,7.1068,4.6699,11.447,2.05485,-0.205,0.241,97.4689,96.2766
28620,54.2513,62.693,69.6779,75.5339,97.4674,52.4437,16.9109,17.0418,11.9314,7.23272,4.76599,11.3509,2.00731,0.1435,0.09675,97.4689,96.2766
28560,53.2436,61.2323,68.9456,75.2497,97.2382,51.6997,16.8785,17.0351,11.9514,7.07925,4.69329,11.2163,2.0012,-0.14775,-0.24975,97.4689,96.2766
28500,54.3274,61.5453,70.1914,75.4843,97.4264,52.9706,16.8863,17.0437,11.9357,7.2003,4.76265,11.2231,1.98367,-0.058,-0.1735,97.4689,96.2766
28440,54.2508,61.4593,69.8913,74.9593,97.0017,52.6745,16.8823,17.0252,11.892,7.17739,4.72148,11.2225,1.98802,0.004,-0.1895,97.4689,96.2766
28380,53.8508,60.5661,69.5182,75.6446,97.5568,52.2944,16.8618,17.0491,11.9846,7.18893,4.76582,11.1158,1.96116,-0.02825,-0.401,97.0532,96.103
28320,53.9391,59.3308,68.502,75.5657,97.4861,51.2689,16.8251,17.0403,12.019,7.17124,4.75943,10.9807,1.92449,-0.0895,-0.68825,97.0532,96.103
28260,54.9216,62.2574,69.9855,75.4968,97.4327,52.7698,16.8908,17.0319,11.9195,7.40156,4.84265,11.2687,1.95466,0.2255,0.00075,97.0532,96.103
28200,53.493,61.9627,69.4153,75.0416,97.0781,52.1728,16.8886,17.0197,11.8947,7.21399,4.73516,11.2676,1.98165,0.0115,-0.08025,97.0532,96.103
28140,54.1886,60.7266,69.9145,75.5277,97.4738,52.6714,16.865,17.0411,11.9564,7.11232,4.72999,11.1418,1.9682,-0.29625,-0.3795,97.0532,96.103
28080,54.5042,61.8751,69.832,76.484,98.2299,52.5931,16.8913,17.0728,12.0366,7.19502,4.79636,11.2653,1.9912,0.21225,-0.102,97.3106,96.8438
28020,54.9884,63.3374,69.6208,75.0449,97.069,52.3811,16.9252,17.0236,11.8641,7.289,4.77227,11.4027,2.00564,0.0795,0.24575,97.3106,96.8438
27960,54.0432,61.4946,70.0949,75.2885,97.2688,52.8587,16.8884,17.0391,11.9104,7.18784,4.73614,11.2168,1.98381,0.035,-0.1945,97.3106,96.8438
27900,54.9309,63.8868,69.4596,75.9028,97.7557,52.2183,16.9485,17.0639,11.9522,7.34083,4.83499,11.4567,2.02681,0.24475,0.3795,97.3106,96.8438
27840,54.0572,63.5111,68.8313,75.4671,97.3966,51.5984,16.9381,17.0501,11.958,7.10766,4.73694,11.4615,2.07247,-0.35625,0.30125,97.3106,96.8438
27780,55.4234,60.2205,69.1491,74.9118,96.9384,51.9433,16.8523,17.0262,11.9293,7.15169,4.742,11.0738,1.95482,-0.3815,-0.46975,97.3162,96.2709
27720,54.901,63.1071,69.9762,75.1823,97.1509,52.792,16.9143,17.0297,11.9032,7.18294,4.78753,11.4075,2.04086,0.1115,0.353582,97.3162,96.2709
27660,54.938,61.468,69.7841,76.733,98.392,52.5887,16.8694,17.073,12.0728,7.33553,4.89598,11.1812,1.93336,0.04125,-0.1745,97.3162,96.2709
27600,54.127,63.4588,69.5444,76.9163,98.5658,52.3138,16.9286,17.0879,12.0731,7.29142,4.87053,11.4225,2.01808,0.054,0.282,97.3162,96.2709
27540,55.873,60.697,69.0536,76.6413,98.3433,51.8181,16.8637,17.081,12.0817,7.26337,4.85353,11.1022,1.93173,0.172,-0.37,97.3162,96.2709
