Time,TI3104_Meas - OP Value,TI3107_Meas - OP Value,TI3105_Meas - OP Value,TC3106_Meas - OP Value,TI3108_Meas - OP Value,TI3101_Meas - OP Value,PI3102_Meas - OP Value,PI3103_Meas - OP Value,FC3101_Meas - OP Value,FI3105_Meas - OP Value,FI3104_Meas - OP Value,FC3103_Meas - OP Value,FC3102_Meas - OP Value,LC3103_Meas - OP Value,LC3101_Meas - OP Value,QI3105 - PV,QI3104 - PV
33420,53.6567,64.3291,68.9864,75.3022,97.282,52.7587,16.8757,17.0546,15.4154,9.32155,6.12875,14.2773,2.55349,-0.03475,-0.2735,96.6864,96.1864
33360,53.9183,61.3977,69.6219,76.147,97.9574,51.1973,16.9135,17.0827,15.5334,9.22984,6.14033,14.4781,2.62439,-0.1305,0.11875,96.6864,96.1864
33300,54.9159,62.9913,69.3328,75.7545,97.6363,52.047,16.9048,17.0658,15.4694,9.26288,6.14675,14.4437,2.59983,-0.2645,0.0685,96.6864,96.1864
33240,55.5128,62.1513,69.0884,75.4338,97.3816,51.5976,16.8856,17.0568,15.4396,9.39301,6.17439,14.3151,2.53816,0.13175,-0.146,96.6864,96.1864
33180,54.2893,62.8721,70.1229,76.8442,98.5133,51.9807,16.9455,17.1079,15.5608,9.34646,6.2285,14.5914,2.63087,-0.082,0.4075,96.9016,96.4385
33120,55.1303,61.8584,69.3474,75.7672,97.6442,51.448,16.9102,17.0719,15.4813,9.2978,6.15939,14.4325,2.59293,-0.17275,0.06625,96.9016,96.4385
33060,54.1777,62.8659,69.2633,75.6341,97.5362,51.9888,16.883,17.0692,15.4648,9.29822,6.13344,14.3045,2.56693,0.19175,-0.21725,96.9016,96.4385
33000,54.3115,63.8672,69.2161,75.5554,97.4721,52.5287,16.9349,17.0678,15.4116,9.357,6.16055,14.5297,2.61131,0.1775,0.29925,96.9016,96.4385
32940,55.3827,62.8177,69.6753,76.1577,97.9486,51.9748,16.9168,17.0867,15.5026,9.37207,6.21666,14.4465,2.58657,-0.026,0.145,96.9016,96.4385
32880,53.0126,61.3785,69.7579,76.2558,98.0198,51.2082,16.8816,17.085,15.5731,9.24911,6.15527,14.3464,2.59874,-0.18875,-0.14875,96.7041,96.0555
32820,53.95,62.7466,70.3438,77.0702,98.6712,51.9354,16.8726,17.1102,15.6249,9.37094,6.24787,14.2839,2.54621,0.1615,-0.226,96.7041,96.0555
32760,55.4366,63.3607,69.5555,76.0149,97.8336,52.2586,16.8954,17.0775,15.4994,9.3234,6.19971,14.3722,2.57315,-0.38675,-0.03425,96.7041,96.0555
32700,53.7238,63.1662,69.0429,75.3239,97.2827,52.1525,16.8734,17.0542,15.4381,9.29574,6.122,14.2864,2.56049,0.00875,-0.256,96.7041,96.0555
